"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 1",0.359277556805225,11.6881675724239,11.6881675724239
"dim 2",0.323572363170999,10.5265912966508,22.2147588690748
"dim 3",0.275642616306145,8.9673207481596,31.1820796172344
"dim 4",0.231216605331045,7.52203519938032,38.7041148166147
"dim 5",0.205417575055032,6.68273036844831,45.386845185063
"dim 6",0.187734848903183,6.10746853401053,51.4943137190735
"dim 7",0.170749303289008,5.55488766808365,57.0492013871572
"dim 8",0.149331867085284,4.8581266859983,61.9073280731555
"dim 9",0.146361716911505,4.76150051971313,66.6688285928686
"dim 10",0.130177063478628,4.23497461281486,70.9038032056835
"dim 11",0.122517954698295,3.98580528624742,74.8896084919309
"dim 12",0.113461527115672,3.69117780064967,78.5807862925806
"dim 13",0.0922742141447163,3.00190328371074,81.5826895762913
"dim 14",0.0780696360534647,2.53979401503706,84.1224835913284
"dim 15",0.0694956915843064,2.26086287165225,86.3833464629806
"dim 16",0.0629435968180273,2.04770738746433,88.431053850445
"dim 17",0.0563693050198141,1.83382978016033,90.2648836306053
"dim 18",0.0496948409191569,1.6166933256645,91.8815769562698
"dim 19",0.0462228957835095,1.50374255604627,93.3853195123161
"dim 20",0.0368200717490047,1.19784595636279,94.5831654686788
"dim 21",0.0336581855356338,1.09498215313655,95.6781476218154
"dim 22",0.0304515676244749,0.990663119630427,96.6688107414458
"dim 23",0.0222748889871399,0.724655994251199,97.393466735697
"dim 24",0.0185499625266984,0.603475130487424,97.9969418661844
"dim 25",0.017492419896011,0.569070711819107,98.5660125780036
"dim 26",0.0155507076753014,0.505902118670995,99.0719146966745
"dim 27",0.00917682846679072,0.298544417461036,99.3704591141356
"dim 28",0.00715905956346282,0.232901516539985,99.6033606306756
"dim 29",0.00622039642870092,0.202364535297092,99.8057251659727
"dim 30",0.00389198517973732,0.126615687811588,99.9323408537842
"dim 31",0.00207974540040627,0.067659146215762,100
