"","x"
"npar",49
"fmin",3.30350204006323
"chisq",290.708179525564
"df",204
"pvalue",6.31732875364666e-05
"baseline.chisq",428.801336161476
"baseline.df",231
"baseline.pvalue",5.06261699229071e-14
"cfi",0.561640071759779
"tli",0.503621845963279
"nnfi",0.503621845963279
"rfi",0.232315213715034
"nfi",0.322044604319771
"pnfi",0.284403027191486
"ifi",0.614289750202901
"rni",0.561640071759779
"logl",-1369.22354060095
"unrestricted.logl",-1223.86945083817
"aic",2836.4470812019
"bic",2923.87237326389
"ntotal",44
"bic2",2770.32587194282
"rmsea",0.098285310068738
"rmsea.ci.lower",0.0711872607859052
"rmsea.ci.upper",0.123069409750357
"rmsea.ci.level",0.9
"rmsea.pvalue",0.00368606351081102
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.874949797154406
"rmsea.notclose.h0",0.08
"rmr",0.229711436297948
"rmr_nomean",0.229711436297948
"srmr",0.136190146101084
"srmr_bentler",0.136190146101084
"srmr_bentler_nomean",0.136190146101084
"crmr",0.142527928843581
"crmr_nomean",0.142527928843581
"srmr_mplus",0.13619015175252
"srmr_mplus_nomean",0.13619015175252
"cn_05",37.0711157578194
"cn_01",39.4301776595002
"gfi",0.691107035243422
"agfi",0.616912156453852
"pgfi",0.557256265571771
"mfi",0.373319662669386
"ecvi",8.83427680739919
